M,N,K,B,DTC,DS-STC (A Dense),RM-STC (A Dense),Gamma (A Dense),NV-STC,DS-STC (A 50%),RM-STC (A 50%),Gamma (A 50%),DS-STC (A 20%),RM-STC (A 20%),Gamma (A 20%)
2048,2048,2048,100,66645103636.04599,104544542792.26219,76277070591.87837,68802611899.66412,42311447396.7992,77034714714.69127,44001830542.065,59048608483.04498,60464322828.491486,38672586212.947525,72995960155.5454
2048,2048,2048,90,66645103636.04599,98137171620.61066,72775340725.6884,67953988850.7526,42311447396.7992,73226078831.42052,41584031495.5509,55657137005.90644,58219016749.446175,36572228917.93178,68328887906.941025
2048,2048,2048,80,66645103636.04599,91729781472.27397,68855199872.83742,65658586067.34701,42311447396.7992,69417433468.75343,39043435365.05582,52265659908.69064,55973706871.16634,34432788027.23602,63661815567.29624
2048,2048,2048,70,66645103636.04599,85320585537.58348,64566565285.81434,63101801245.843315,42311447396.7992,65607883765.91098,36404534895.49147,48874176077.93917,53728033534.212105,32263510438.207752,58994739394.13034
2048,2048,2048,60,66645103636.04599,78893270209.48488,59935502196.21066,60506869829.60439,42311447396.7992,61789275792.468185,33679590986.526306,45482697594.51634,51478738577.92611,30068214709.383068,54327667054.48467
2048,2048,2048,50,66645103636.04599,72432348899.6617,54951285421.260544,57907680177.452286,42311447396.7992,57953861844.40485,30862152853.80986,42091204929.98787,49222717671.86918,27842923076.321796,49660590843.867294
2048,2048,2048,40,66645103636.04599,65980257680.70114,49614358737.424324,55308020190.21042,42311447396.7992,54122837848.06331,27951043756.759766,38699571784.05488,46968422630.39943,25585180337.077984,44993518545.33903
2048,2048,2048,30,66645103636.04599,59560789024.593575,43918944904.56718,52706733541.99987,42311447396.7992,50307833485.868065,24941587764.753033,35306327736.663025,44720185449.85724,23290540523.633377,40326446251.21145
2048,2048,2048,20,66645103636.04599,53147528591.3858,37868157670.99593,50092792091.05551,42311447396.7992,46493658587.51333,21832712197.3651,31900429623.153667,42469550508.646545,20954048521.729225,35659370036.927986
2048,2048,2048,10,66645103636.04599,46708476233.24188,31492002813.501747,47402019692.42914,42311447396.7992,42653343682.21149,18633531858.14869,28417700198.63166,40192566691.223694,18569040497.94681,30992297783.91781
